updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,total_votes,winner,write_in,year
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,19,Joe White,,,,,D,Boone,ocd-division/country:us/state:wv/county:boone,437,3442,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,19,Jeff Eldridge,,,,,D,Boone,ocd-division/country:us/state:wv/county:boone,613,3900,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,16,Bill Winters,,,,,R,Cabell,ocd-division/country:us/state:wv/county:cabell,1451,1590,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,16,Karen N. Nance,,,,,D,Cabell,ocd-division/country:us/state:wv/county:cabell,1695,1778,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,29,David G. Perry,,,,,D,Nicholas,ocd-division/country:us/state:wv/county:nicholas,48,4340,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,29,David G. Perry,,,,,D,Fayette,ocd-division/country:us/state:wv/county:fayette,3942,4340,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,29,David G. Perry,,,,,D,Clay,ocd-division/country:us/state:wv/county:clay,350,4340,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,29,Leland D. O'Neal,,,,,D,Nicholas,ocd-division/country:us/state:wv/county:nicholas,24,2886,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,29,Leland D. O'Neal,,,,,D,Fayette,ocd-division/country:us/state:wv/county:fayette,2672,2886,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,29,Leland D. O'Neal,,,,,D,Clay,ocd-division/country:us/state:wv/county:clay,190,2886,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,29,Tom Louisos,,,,,D,Nicholas,ocd-division/country:us/state:wv/county:nicholas,32,3489,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,29,Tom Louisos,,,,,D,Fayette,ocd-division/country:us/state:wv/county:fayette,3302,3489,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,29,Tom Louisos,,,,,D,Clay,ocd-division/country:us/state:wv/county:clay,155,3489,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,28,Ray Canterbury,,,,,R,Greenbrier,ocd-division/country:us/state:wv/county:greenbrier,1528,1528,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,28,Tommy D. Scarles,,,,,D,Greenbrier,ocd-division/country:us/state:wv/county:greenbrier,1993,1993,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,28,Steve Hunter,,,,,D,Greenbrier,ocd-division/country:us/state:wv/county:greenbrier,2016,2016,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,28,Thomas W. Campbell,,,,,D,Greenbrier,ocd-division/country:us/state:wv/county:greenbrier,3262,3262,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,27,Linda Sumner,,,,,R,Summers,ocd-division/country:us/state:wv/county:summers,129,1696,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,27,Linda Sumner,,,,,R,Raleigh,ocd-division/country:us/state:wv/county:raleigh,1567,1696,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,15,Jim Morgan,,,,,D,Cabell,ocd-division/country:us/state:wv/county:cabell,2543,2850,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,27,Philip L. Stevens,,,,,R,Summers,ocd-division/country:us/state:wv/county:summers,238,1465,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,27,Philip L. Stevens,,,,,R,Raleigh,ocd-division/country:us/state:wv/county:raleigh,1227,1465,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,27,Jeff Robinson,,,,,R,Summers,ocd-division/country:us/state:wv/county:summers,103,1501,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,27,Jeff Robinson,,,,,R,Raleigh,ocd-division/country:us/state:wv/county:raleigh,1398,1501,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,27,David T. Gallahe,,,,,R,Summers,ocd-division/country:us/state:wv/county:summers,128,1628,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,27,David T. Gallahe,,,,,R,Raleigh,ocd-division/country:us/state:wv/county:raleigh,1500,1628,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,27,Chuck Carpenter,,,,,R,Summers,ocd-division/country:us/state:wv/county:summers,132,1609,,,2002
2014-09-05 20:32:16.690000,wv-2002-05-14-primary,2002-05-14 00:00:00,2002-05-14 00:00:00,primary,certified,False,House of Delegates,27,Chuck Carpenter,,,,,R,Raleigh,ocd-division/country:us/state:wv/county:raleigh,1477,1609,,,2002
