updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,total_votes,winner,write_in,year
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Bill Maloney,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,1762,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Bob Henry Baber,,,,,Mountain,Barbour,ocd-division/country:us/state:wv/county:barbour,77,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Harry V. Bertram,,,,,American Third Position,Barbour,ocd-division/country:us/state:wv/county:barbour,16,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Harry V. Bertram,,,,,American Third Position,Berkeley,ocd-division/country:us/state:wv/county:berkeley,33,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Donald Lee Underwood,,,,,Write-In,Barbour,ocd-division/country:us/state:wv/county:barbour,0,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,"John R. ""Rick"" Bartlett",,,,,Write-In,Barbour,ocd-division/country:us/state:wv/county:barbour,1,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Marla Dee Ingels,,,,,Independent,Barbour,ocd-division/country:us/state:wv/county:barbour,42,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Phil Hudok,,,,,Write-In,Barbour,ocd-division/country:us/state:wv/county:barbour,1,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Bill Maloney,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,6678,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Bob Henry Baber,,,,,Mountain,Berkeley,ocd-division/country:us/state:wv/county:berkeley,170,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Harry V. Bertram,,,,,American Third Position,Braxton,ocd-division/country:us/state:wv/county:braxton,7,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Donald Lee Underwood,,,,,Write-In,Berkeley,ocd-division/country:us/state:wv/county:berkeley,0,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Earl Ray Tomblin,,,,,Democrat,Berkeley,ocd-division/country:us/state:wv/county:berkeley,4501,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,"John R. ""Rick"" Bartlett",,,,,Write-In,Berkeley,ocd-division/country:us/state:wv/county:berkeley,3,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Marla Dee Ingels,,,,,Independent,Berkeley,ocd-division/country:us/state:wv/county:berkeley,105,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Phil Hudok,,,,,Write-In,Berkeley,ocd-division/country:us/state:wv/county:berkeley,4,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Bill Maloney,,,,,Republican,Boone,ocd-division/country:us/state:wv/county:boone,1085,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Bob Henry Baber,,,,,Mountain,Boone,ocd-division/country:us/state:wv/county:boone,50,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Harry V. Bertram,,,,,American Third Position,Brooke,ocd-division/country:us/state:wv/county:brooke,38,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Donald Lee Underwood,,,,,Write-In,Boone,ocd-division/country:us/state:wv/county:boone,0,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Earl Ray Tomblin,,,,,Democrat,Boone,ocd-division/country:us/state:wv/county:boone,3391,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Marla Dee Ingels,,,,,Independent,Boone,ocd-division/country:us/state:wv/county:boone,33,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Phil Hudok,,,,,Write-In,Boone,ocd-division/country:us/state:wv/county:boone,0,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Bill Maloney,,,,,Republican,Braxton,ocd-division/country:us/state:wv/county:braxton,1007,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Harry V. Bertram,,,,,American Third Position,Cabell,ocd-division/country:us/state:wv/county:cabell,20,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Bob Henry Baber,,,,,Mountain,Braxton,ocd-division/country:us/state:wv/county:braxton,82,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Donald Lee Underwood,,,,,Write-In,Braxton,ocd-division/country:us/state:wv/county:braxton,0,,,,2011
2014-09-05 20:31:49.542000,wv-2011-10-04-special-general,2011-10-04 00:00:00,2011-10-04 00:00:00,general,certified,True,Governor,0,Earl Ray Tomblin,,,,,Democrat,Braxton,ocd-division/country:us/state:wv/county:braxton,1476,,,,2011
