updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,total_votes,winner,write_in,year
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Jeff Eldridge,,,,,D,Logan,ocd-division/country:us/state:wv/county:logan,7222,14274,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Jeff Eldridge,,,,,D,Boone,ocd-division/country:us/state:wv/county:boone,1727,14274,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Kelli Sobonya,,,,,R,Lincoln,ocd-division/country:us/state:wv/county:lincoln,1334,12656,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,15,Carol D. Miller,,,,,R,Cabell,ocd-division/country:us/state:wv/county:cabell,7651,8169,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,15,Dennis A. Barry,,,,,R,Cabell,ocd-division/country:us/state:wv/county:cabell,6657,7132,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,14,Stephen C. (Steve) Sluss,,,,,D,Putnam,ocd-division/country:us/state:wv/county:putnam,3856,54,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Joe C. Ferrell,,,,,D,Putnam,ocd-division/country:us/state:wv/county:putnam,1472,13377,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Joe C. Ferrell,,,,,D,Logan,ocd-division/country:us/state:wv/county:logan,6771,13377,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Joe C. Ferrell,,,,,D,Lincoln,ocd-division/country:us/state:wv/county:lincoln,3505,13377,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Joe C. Ferrell,,,,,D,Boone,ocd-division/country:us/state:wv/county:boone,1629,13377,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Jeff Eldridge,,,,,D,Putnam,ocd-division/country:us/state:wv/county:putnam,1403,14274,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,12,Mitch B. Carmichael,,,,,R,Jackson,ocd-division/country:us/state:wv/county:jackson,5944,5944,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Jeff Eldridge,,,,,D,Lincoln,ocd-division/country:us/state:wv/county:lincoln,3922,14274,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Greg Butcher,,,,,D,Putnam,ocd-division/country:us/state:wv/county:putnam,1388,15013,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Greg Butcher,,,,,D,Logan,ocd-division/country:us/state:wv/county:logan,8349,15013,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Greg Butcher,,,,,D,Lincoln,ocd-division/country:us/state:wv/county:lincoln,3433,15013,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,19,Greg Butcher,,,,,D,Boone,ocd-division/country:us/state:wv/county:boone,1843,15013,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,18,Warren K. Miller,,,,,R,Boone,ocd-division/country:us/state:wv/county:boone,2058,2058,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,18,Larry W. Barker,,,,,D,Boone,ocd-division/country:us/state:wv/county:boone,5088,5088,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,17,Matt Stroud,,,,,R,Wayne,ocd-division/country:us/state:wv/county:wayne,3430,3430,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,17,Leslie (Les) Ramey,,,,,R,Wayne,ocd-division/country:us/state:wv/county:wayne,4330,4330,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,17,Richard Thompson,,,,,D,Wayne,ocd-division/country:us/state:wv/county:wayne,8414,8414,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,17,Don C. Perdue,,,,,D,Wayne,ocd-division/country:us/state:wv/county:wayne,8494,8494,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Kelli Sobonya,,,,,R,Cabell,ocd-division/country:us/state:wv/county:cabell,11322,12656,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Matt Sabin,,,,,R,Lincoln,ocd-division/country:us/state:wv/county:lincoln,742,6131,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Matt Sabin,,,,,R,Cabell,ocd-division/country:us/state:wv/county:cabell,5389,6131,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Greg Howard,,,,,R,Lincoln,ocd-division/country:us/state:wv/county:lincoln,1149,11728,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Greg Howard,,,,,R,Cabell,ocd-division/country:us/state:wv/county:cabell,10579,11728,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Dale Stephens,,,,,D,Lincoln,ocd-division/country:us/state:wv/county:lincoln,1553,10213,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Dale Stephens,,,,,D,Cabell,ocd-division/country:us/state:wv/county:cabell,8660,10213,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Bobby Nelson,,,,,D,Lincoln,ocd-division/country:us/state:wv/county:lincoln,1030,8701,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Bobby Nelson,,,,,D,Cabell,ocd-division/country:us/state:wv/county:cabell,7671,8701,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Susan Hubbard,,,,,D,Lincoln,ocd-division/country:us/state:wv/county:lincoln,1249,9973,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,16,Susan Hubbard,,,,,D,Cabell,ocd-division/country:us/state:wv/county:cabell,8724,9973,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,15,Paula L. Stewart,,,,,R,Lincoln,ocd-division/country:us/state:wv/county:lincoln,432,5510,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,15,Paula L. Stewart,,,,,R,Cabell,ocd-division/country:us/state:wv/county:cabell,5078,5510,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,15,Carol D. Miller,,,,,R,Lincoln,ocd-division/country:us/state:wv/county:lincoln,518,8169,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,15,Dennis A. Barry,,,,,R,Lincoln,ocd-division/country:us/state:wv/county:lincoln,475,7132,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,15,Jim Morgan,,,,,D,Lincoln,ocd-division/country:us/state:wv/county:lincoln,731,9781,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,15,Jim Morgan,,,,,D,Cabell,ocd-division/country:us/state:wv/county:cabell,9050,9781,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,9,Larry Border,,,,,R,Wirt,ocd-division/country:us/state:wv/county:wirt,956,4632,,,2004
2014-09-05 20:32:08.643000,wv-2004-11-02-general,2004-11-02 00:00:00,2004-11-02 00:00:00,general,certified,False,House of Delegates,15,Margarette R. Leach,,,,,D,Lincoln,ocd-division/country:us/state:wv/county:lincoln,758,9280,,,2004
