updated_at,id,start_date,end_date,election_type,result_type,special,office,district,name_raw,last_name,first_name,suffix,middle_name,party,jurisdiction,division,votes,total_votes,winner,write_in,year
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Albert Benjamine Howard,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,1,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Jesse Clarence Johnson Jr.,,,,,Mountain,Barbour,ocd-division/country:us/state:wv/county:barbour,3,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Lynette Kennedy McQuain,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,5,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Thomas Elwood Ressler II,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,11,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Andrew McCoy Warner,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,103,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Daniel Scott Rebich,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,18,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Frank Kubic,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,1,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Harry C. Bruner Jr.,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,2,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Joe Manchin III,,,,,Democrat,Barbour,ocd-division/country:us/state:wv/county:barbour,715,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,John Reeves Raese,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,509,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Ken Hechler,,,,,Democrat,Barbour,ocd-division/country:us/state:wv/county:barbour,110,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Albert Benjamine Howard,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,6,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Kenneth Allen Culp,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,10,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Scott Harold Williams,,,,,Republican,Barbour,ocd-division/country:us/state:wv/county:barbour,44,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Sheirl Lee Fletcher,,,,,Democrat,Barbour,ocd-division/country:us/state:wv/county:barbour,63,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Andrew McCoy Warner,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,567,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Daniel Scott Rebich,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,7,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Frank Kubic,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,42,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Harry C. Bruner Jr.,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,28,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Joe Manchin III,,,,,Democrat,Berkeley,ocd-division/country:us/state:wv/county:berkeley,1267,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,John Reeves Raese,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,1250,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Ken Hechler,,,,,Democrat,Berkeley,ocd-division/country:us/state:wv/county:berkeley,316,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Kenneth Allen Culp,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,104,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Scott Harold Williams,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,61,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Sheirl Lee Fletcher,,,,,Democrat,Berkeley,ocd-division/country:us/state:wv/county:berkeley,193,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Albert Benjamine Howard,,,,,Republican,Boone,ocd-division/country:us/state:wv/county:boone,1,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Andrew McCoy Warner,,,,,Republican,Boone,ocd-division/country:us/state:wv/county:boone,20,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Joe Manchin III,,,,,Democrat,Boone,ocd-division/country:us/state:wv/county:boone,1167,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,John Reeves Raese,,,,,Republican,Boone,ocd-division/country:us/state:wv/county:boone,227,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Ken Hechler,,,,,Democrat,Boone,ocd-division/country:us/state:wv/county:boone,315,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Jesse Clarence Johnson Jr.,,,,,Mountain,Berkeley,ocd-division/country:us/state:wv/county:berkeley,8,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Lynette Kennedy McQuain,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,27,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Kenneth Allen Culp,,,,,Republican,Boone,ocd-division/country:us/state:wv/county:boone,7,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Thomas Elwood Ressler II,,,,,Republican,Berkeley,ocd-division/country:us/state:wv/county:berkeley,310,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Lynette Kennedy McQuain,,,,,Republican,Boone,ocd-division/country:us/state:wv/county:boone,6,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Scott Harold Williams,,,,,Republican,Boone,ocd-division/country:us/state:wv/county:boone,2,,,,2010
2014-09-05 20:31:44.469000,wv-2010-08-28-special-primary,2010-08-28 00:00:00,2010-08-28 00:00:00,primary,certified,True,U.S. Senate,0,Sheirl Lee Fletcher,,,,,Democrat,Boone,ocd-division/country:us/state:wv/county:boone,183,,,,2010
